organizations,fullName,location,status,typeOfDeath,charges,startDisplay,mtpage,country,type,motiveConfirmed,year,month
"Holy Quran Radio,Midan,Mugtama,Al-Jazeera",Abdallah Alwan,Jabalia,Killed,Dangerous Assignment,,18-Dec-23,https://cpj.org/data/people/abdallah-alwan/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Al-Aqsa TV,Abdelhalim Awad,Gaza Strip,Killed,,,18-Nov-23,https://cpj.org/data/people/abdelhalim-awad/,Israel and the Occupied Palestinian Territory,Media Worker,,2023,November
"Al-Manara News Agency,HQ News Agency",Abdulhadi Habib,"Zeitoun neighborhood, south of Gaza City.",Killed,Dangerous Assignment,,16-Oct-23,https://cpj.org/data/people/abdulhadi-habib/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Al Aqsa TV,Abdullah Darwish,Gaza Strip,Killed,Dangerous Assignment,,1-Dec-23,https://cpj.org/data/people/abdullah-darwish/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
,Adel Zorob,Rafah,Killed,Dangerous Assignment,,19-Dec-23,https://cpj.org/data/people/adel-zorob/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
,Adham Hassouna,Gaza,Killed,Dangerous Assignment,,1-Dec-23,https://cpj.org/data/people/adham-hassouna/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Al-Rai,Ahmad Jamal Al Madhoun,Gaza City,Killed,Dangerous Assignment,,24-Dec-23,https://cpj.org/data/people/ahmad-jamal-al-madhoun/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
"Voice of the People Radio,Bisan News Agency",Ahmed Abu Hussein,Jabalia,Killed,Murder,,25-Apr-18,https://cpj.org/data/people/ahmed-abu-hussein/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2018,April
Al-Aqsa TV,Ahmed Abu Mhadi,Unknown,Killed,Dangerous Assignment,,25-Oct-23,https://cpj.org/data/people/ahmed-abu-mhadi/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
Freelance,Ahmed Al-Qara,Khuza'a,Killed,Dangerous Assignment,,10-Nov-23,https://cpj.org/data/people/ahmed-al-qara/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Bawabat al-Hadaf,Ahmed Bdeir,Khan Yunis,Killed,Dangerous Assignment,,10-Jan-24,https://cpj.org/data/people/ahmed-bdeir/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2024,January
Al Qahera News TV,Ahmed Fatima,Gaza,Killed,Dangerous Assignment,,13-Nov-23,https://cpj.org/data/people/ahmed-fatima/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,November
Quds Al-Youm TV,Ahmed Khaireddine,Beit Lahiya,Killed,Dangerous Assignment,,28-Dec-23,https://cpj.org/data/people/ahmed-khaireddine/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,December
Sowt Al-Asra Radio (Radio Voice of the Prisoners),Ahmed Shehab,"Jabalia, Gaza Strip",Killed,Dangerous Assignment,,12-Oct-23,https://cpj.org/data/people/ahmed-shehab/,Israel and the Occupied Palestinian Territory,Journalist,Confirmed,2023,October
